fips,state,county,seat,lat,lon,int_lat,int_lon,point_source
51037,VA,Charlotte County,Charlotte Court House,37.0569,-78.6342,37.009042,-78.658568,seat
51041,VA,Chesterfield County,Chesterfield Court House,37.3764,-77.5039,37.378434,-77.585847,seat
51043,VA,Clarke County,Berryville,39.1511,-77.9825,39.115307,-77.990748,seat
51045,VA,Craig County,New Castle,37.5008,-80.1108,37.473603,-80.231051,seat
51047,VA,Culpeper County,Culpeper,38.471944444444,-77.999166666667,38.48593,-77.956476,seat
51049,VA,Cumberland County,Cumberland,37.4961,-78.2453,37.520189,-78.252836,seat
51051,VA,Dickenson County,Clintwood,37.15,-82.4567,37.136701,-82.34922,seat
51053,VA,Dinwiddie County,Dinwiddie,37.0781,-77.5867,37.073498,-77.635492,seat
51057,VA,Essex County,Tappahannock,37.9222,-76.8631,37.936389,-76.933747,seat
51059,VA,Fairfax County,Fairfax,38.852612,-77.304377,38.82952,-77.273252,seat
51061,VA,Fauquier County,Warrenton,38.71345,-77.79527,38.744096,-77.8215,seat
51063,VA,Floyd County,Floyd,36.9122,-80.3183,36.931433,-80.350266,seat
51065,VA,Fluvanna County,Palmyra,37.8611,-78.2633,37.830584,-78.283494,seat
51067,VA,Franklin County,Rocky Mount,36.9997,-79.8897,36.991186,-79.882715,seat
51069,VA,Frederick County,Winchester,39.1783,-78.1667,39.20366,-78.263829,seat
51071,VA,Giles County,Pearisburg,37.3292,-80.7325,37.318072,-80.698321,seat
51073,VA,Gloucester County,Gloucester Courthouse,37.4128,-76.5242,37.403541,-76.523505,seat
51075,VA,Goochland County,Goochland,37.6844,-77.8853,37.718814,-77.917626,seat
51077,VA,Grayson County,Independence,36.6228,-81.1517,36.652229,-81.215324,seat
51079,VA,Greene County,Stanardsville,38.2969,-78.4394,38.297981,-78.470163,seat
51081,VA,Greensville County,Emporia,36.693018,-77.53809,36.680336,-77.560277,seat
51083,VA,Halifax County,Halifax,36.76597,-78.92834,36.766461,-78.939614,seat
51085,VA,Hanover County,Hanover Courthouse,37.7719,-77.375,37.760215,-77.491317,seat
51087,VA,Henrico County,(internal point),37.43752,-77.300333,37.43752,-77.300333,internal_point
51089,VA,Henry County,Martinsville,36.686143,-79.869171,36.620612,-79.980662,seat
51091,VA,Highland County,Monterey,38.4119,-79.5806,38.366243,-79.564472,seat
51093,VA,Isle of Wight County,Isle of Wight,36.9078,-76.7078,36.901418,-76.707569,seat
51095,VA,James City County,Williamsburg,37.2708,-76.7069,37.324837,-76.777888,seat
51097,VA,King and Queen County,King and Queen Court House,37.67,-76.8775,37.717772,-76.905581,seat
51099,VA,King George County,King George,38.2807539,-77.1896138,38.27718,-77.162636,seat
51101,VA,King William County,King William,37.6875,-77.0136,37.70826,-77.091054,seat
51103,VA,Lancaster County,Lancaster,37.7697,-76.4664,37.704843,-76.412663,seat
51105,VA,Lee County,Jonesville,36.6881,-83.1164,36.701721,-83.130112,seat
51107,VA,Loudoun County,Leesburg,39.115555555556,-77.564444444444,39.0812,-77.638898,seat
51109,VA,Louisa County,Louisa,38.0242,-78.0017,37.972704,-77.959795,seat
51111,VA,Lunenburg County,Lunenburg,36.9611,-78.2656,36.945555,-78.240528,seat
51113,VA,Madison County,Madison,38.3808,-78.2581,38.412059,-78.276961,seat
51115,VA,Mathews County,Mathews,37.4369,-76.32,37.425348,-76.268808,seat
51117,VA,Mecklenburg County,Boydton,36.6681,-78.3889,36.687256,-78.368959,seat
51119,VA,Middlesex County,Saluda,37.606111111111,-76.595,37.606975,-76.528082,seat
51121,VA,Montgomery County,Christiansburg,37.1411,-80.4078,37.175538,-80.387794,seat
51125,VA,Nelson County,Lovingston,37.76,-78.8708,37.789079,-78.88344,seat
51127,VA,New Kent County,New Kent,37.5178,-76.9789,37.51016,-76.999331,seat
51131,VA,Northampton County,Eastville,37.35264,-75.94576,37.302775,-75.924018,seat
51133,VA,Northumberland County,Heathsville,37.9175,-76.4722,37.856974,-76.379687,seat
51135,VA,Nottoway County,Nottoway,37.1236,-78.0719,37.141167,-78.053866,seat
51137,VA,Orange County,Orange,38.2458,-78.1097,38.249326,-78.011092,seat
51139,VA,Page County,Luray,38.6642,-78.4544,38.623209,-78.491872,seat
