fips,state,county,seat,lat,lon,int_lat,int_lon,point_source,capitol_drive_s,capitol_road_m,capitol_snap_m,center_drive_s,center_road_m,center_snap_m
29039,MO,Cedar County,Stockton,37.6967,-93.7953,37.733655,-93.850014,seat,73573.8,1715905.8,22.34166482,27243.1,627146.5,22.34166482
29041,MO,Chariton County,Keytesville,39.4342,-92.9369,39.517968,-92.96162,seat,68861.5,1596754.0,27.69324417,24357.9,537634.1,27.69324417
29043,MO,Christian County,Ozark,37.027222222222,-93.209444444444,36.969739,-93.187614,seat,71809.6,1704958.5,3.30554143,30793.5,708086.2,3.30554143
29045,MO,Clark County,Kahoka,40.4167,-91.7167,40.407275,-91.729472,seat,65474.5,1528045.3,27.66504202,31780.3,663754.9,27.66504202
29047,MO,Clay County,Liberty,39.240833333333,-94.426388888889,39.315551,-94.421502,seat,73366.1,1730754.0,2.554914573,18480.8,415500.2,2.554914573
29049,MO,Clinton County,Plattsburg,39.5644,-94.4533,39.608723,-94.395803,seat,73638.8,1737309.0,4.444382438,17165.2,378357.3,4.444382438
29051,MO,Cole County,Jefferson City,38.576666666667,-92.173611111111,38.503233,-92.280027,seat,65467.5,1542557.3,12.43537047,28658.6,675372.9,12.43537047
29053,MO,Cooper County,Boonville,38.965,-92.7417,38.847093,-92.810069,seat,66480.6,1566120.1,20.11837392,25155.1,588806.3,20.11837392
29055,MO,Crawford County,Steelville,37.9686,-91.3553,37.966559,-91.313936,seat,63050.4,1488095.0,22.90507317,35110.8,803916.1,22.90507317
29057,MO,Dade County,Greenfield,37.4153,-93.8428,37.43235,-93.854878,seat,74014.2,1748119.5,32.40792326,28478.3,657534.1,32.40792326
29059,MO,Dallas County,Buffalo,37.643611111111,-93.094444444444,37.683583,-93.033815,seat,69823.8,1647403.0,28.0863886,29044.3,662154.4,28.0863886
29061,MO,Daviess County,Gallatin,39.9119,-93.9619,39.962839,-93.970053,seat,72197.6,1700272.6,23.87458514,18861.0,419221.2,23.87458514
29063,MO,DeKalb County,Maysville,39.88667,-94.35972,39.894665,-94.40719,seat,73283.7,1723486.3,25.87277299,17648.2,387748.5,25.87277299
29065,MO,Dent County,Salem,37.6455993,-91.5359808,37.603072,-91.489717,seat,65946.5,1539649.0,23.41892822,35643.4,816719.6,23.41892822
29067,MO,Douglas County,Ava,36.956388888889,-92.663055555556,36.946517,-92.515892,seat,70692.4,1657935.4,36.9654301,33950.6,765955.0,36.9654301
29069,MO,Dunklin County,Kennett,36.238055555556,-90.051666666667,36.153025,-90.062254,seat,58755.6,1422396.9,3.917461843,47295.3,1063161.3,3.917461843
